"","Building Address","Year Built"
"1114","1453 MISSION ST",1913
"1115","800 MARKET ST",1908
"1116","761 POST ST",1930
"1117","1850 CESAR CHAVEZ ST",1989
"1118","505 BEACH ST",1950
"1119","570 TOWNSEND ST",1960
"1120","175 DE HARO ST",1946
"1121","855 SACRAMENTO ST",1925
"1122","610 GEARY ST",1907
"1123","910 HARRISON ST",1927
"1124","491 BAYSHORE BLVD",2010
"1125","1 SANSOME ST",1983
"1126","929 MARKET ST",1907
"1127","251 RHODE ISLAND ST",1925
"1128","6222 GEARY BLVD",1965
"1129","1025 COLUMBUS AVE",1931
"1130","245 11TH ST",1917
"1131","220 NEWHALL ST",1979
"1132","153 KEARNY ST",1909
"1133","1900 PACIFIC AVE",1970
"1134","1 EMBARCADERO CENTER",1970
"1135","900 BATTERY ST",1917
"1136","1355 VAN NESS AVE",1916
"1137","1790 YOSEMITE AVE",1946
"1138","401 WASHINGTON ST",1983
"1139","166 GOLDEN GATE AVE",1908
"1140","1975 POST ST",2001
"1141","888 HOWARD ST",0
"1142","1849 VAN NESS AVE",1920
"1143","500 HOWARD ST",2003
"1144","2950 GEARY BLVD",1946
"1145","333 Pine Street",1917
"1146","45 KEARNY ST",1907
"1147","250 4TH ST",1947
"1148","220 9TH ST",1924
"1149","250 MONTGOMERY ST",1986
"1150","80 ELMIRA ST",1954
"1151","560 PACIFIC AVE",1910
"1152","2530 18TH ST",1924
"1153","657 HOWARD ST",1922
"1154","599 SKYLINE BLVD",1920
"1155","1173 HOWARD ST",1922
"1156","547 SUTTER ST",1922
"1157","924 SANSOME ST",1911
"1158","217 2ND ST",1912
"1159","445 Fillmore St",1925
"1160","2550 CESAR CHAVEZ ST",1956
"1161","2526 MISSION ST",1926
"1162","407 SANSOME ST",1909
"1163","180-200 NAPOLEON ST",1948
"1164","90 NEW MONTGOMERY ST",1988
"1165","1301 FOLSOM ST",1942
"1166","5757 GEARY BLVD",1967
"1167","1240 MINNESOTA ST",1921
"1168","165 POST ST",1908
"1169","945 BRYANT ST",1964
"1170","649 FRONT ST",1910
"1171","3180 18TH ST",1900
"1172","46 GEARY ST",1907
"1173","825 NEWHALL ST",1951
"1174","500 MENDELL ST",1981
"1175","625 MARKET ST",1907
"1176","121 2ND ST",1907
"1177","2301 CHESTNUT ST",1931
"1178","981 HOWARD ST",1927
"1179","834 DIVISADERO ST",1916
"1180","1400 TENNESSEE ST",1983
"1181","425 WASHINGTON ST",1907
"1182","717 CALIFORNIA ST",1908
"1183","635 PORTOLA DR",1942
"1184","3921 GEARY BLVD",1988
"1185","1405 MINNESOTA ST",1962
"1186","77 MAIDEN LN",1920
"1187","1338 MISSION ST",1923
"1188","616 DIVISADERO ST",1926
"1189","555 NORTH POINT ST",1990
"1190","2800 LEAVENWORTH ST",1978
"1191","230 JONES ST",1924
"1192","44 MONTGOMERY ST",1966
"1193","4109 18TH ST",1918
"1194","333 MARKET ST",1981
"1195","260 OFARRELL ST",1965
"1196","1625 VAN NESS AVE",1919
"1197","222 MASON ST",1988
"1198","410 TOWNSEND ST",1912
"1199","111 NEW MONTGOMERY ST",1907
"1200","50 3RD ST",1983
"1201","230 CALIFORNIA ST",1913
"1202","350 POST ST",1972
"1203","500 CALIFORNIA ST",1927
"1204","150 SPEAR ST",1983
"1205","2225 JERROLD AVE",1982
"1206","1301 EVANS AVE",1986
"1207","275 BRANNAN ST",1906
"1208","1504 BRYANT ST",1900
"1209","1555 MARIPOSA ST",1939
"1210","512 2ND ST",1909
"1211","2400 14TH AVE",1928
"1212","312 SUTTER ST",1909
"1213","447 SUTTER ST",1916
"1214","1133 POST ST",1917
"1215","950 Mason St",1962
"1216","58 FEDERAL ST",1912
"1217","1090 SANSOME ST",1908
"1218","301 PACIFIC AVE",1907
"1219","48 2ND ST",1907
"1220","701 Portola Dr",2013
"1221","428 3RD ST",1917
"1222","101 POST ST",1969
"1223","271 9TH ST",1917
"1224","655 FOLSOM ST",1910
"1225","1007 TARAVAL ST",1931
"1226","134 GOLDEN GATE AVE",1917
"1227","378 18TH AVE",1929
"1228","365 MAIN ST",0
"1229","245 WINSTON DR",1952
"1230","2300 California St",1962
"1231","100 1ST ST",1988
"1232","244 CALIFORNIA ST",1908
"1233","3830 CALIFORNIA ST",1973
"1234","501 GEARY ST",1907
"1235","731 MARKET ST",1908
"1236","3251 20TH AVE",1988
"1237","201 GOLDEN GATE AVE",1920
"1238","222 KEARNY ST",1987
"1239","725 GRANT AVE",1907
"1240","735 BATTERY ST",1982
"1241","589 HOWARD ST",1907
"1242","207 POWELL ST",1906
"1243","285 GEARY ST",1907
"1244","4201 18TH ST",1954
"1245","409 ILLINOIS ST",2008
"1246","433 POWELL ST",1914
"1247","560 MARKET ST",1907
"1248","88 KEARNY ST",1986
"1249","2940 16TH ST",1914
"1250","717 MARKET ST",1908
"1251","75 HAWTHORNE ST",1987
"1252","835 MARKET STREET",0
"1253","2225 MCKINNON AVE",1976
"1254","370 TOWNSEND ST",1923
"1255","1 JONES ST",1907
"1256","725 CESAR CHAVEZ ST",1962
"1257","200-202 POTRERO AVE",1928
"1258","850 LA PLAYA",1971
"1259","555 HOWARD ST",1911
"1260","15 MARINA BLVD",1959
"1261","925 Toland St",1948
"1262","300 BROADWAY",1921
"1263","71 STEVENSON ST",1986
"1264","150 VALENCIA ST",1912
"1265","177 POST ST",1908
"1266","481 JESSIE ST",1907
"1267","34 ELLIS ST",1907
"1268","2151 VAN NESS AVE",1900
"1269","333 OFARRELL ST",0
"1270","235 BAY SHORE BLVD",1927
"1271","2200 JERROLD AVE",1987
"1272","2175 HARRISON ST",1924
"1273","100 POTRERO AVE",1910
"1274","100 NORTH POINT ST",1969
"1275","604 Mission St",1906
"1276","465 GRANT AVE",1922
"1277","1250 COLUMBUS AVE",1984
"1278","5300 3RD STREET",2000
"1279","606 FOLSOM ST",1900
"1280","560 BRANNAN ST",1929
"1281","840 FOLSOM ST",1923
"1282","394 PACIFIC AVE",1907
"1283","500 SANSOME ST",1929
"1284","2000 OAKDALE AVE",1962
"1285","450 POST ST",1924
"1286","631 HOWARD ST",1929
"1287","2770 TAYLOR ST",1966
"1288","375 SUTTER ST",1907
"1289","445 GRANT AVE",1985
"1290","353 BAY SHORE BLVD",1994
"1291","111 SUTTER ST",1926
"1292","2001 UNION ST",1970
"1293","2270 FOLSOM ST",1900
"1294","55 STOCKTON ST",1989
"1295","1575 BURKE AVE",1981
"1296","1240 EGBERT AVE",1987
"1297","635 SUTTER ST",1911
"1298","700 MONTGOMERY ST",1900
"1299","340 BRYANT ST",1932
"1300","3630 BALBOA ST",1925
"1301","200 KANSAS ST",1983
"1302","35 STANFORD ST",1927
"1303","540 POWELL ST",1909
"1304","553 PACIFIC AVE",1907
"1305","1596 HOWARD ST",1926
"1306","909 HYDE ST",1926
"1307","855 HARRISON ST.",1955
"1308","149 NEW MONTGOMERY ST",1907
"1309","800 CESAR CHAVEZ ST",1953
"1310","445 GEARY ST",1922
"1311","1401 YOSEMITE AVE",1962
"1312","1850 Kearny ST",1906
"1313","1245 SOUTH VAN NESS AVE",1959
"1314","625 PINE ST",1950
"1315","2700 19TH ST",1908
"1316","603 BATTERY ST",1907
"1317","2750 VAN NESS AVE",1977
"1318","77 GEARY ST",1929
"1319","40 LAFAYETTE ST",1934
"1320","701 MONTGOMERY ST",1911
"1321","163 EDDY ST",1911
"1322","381 BUSH ST",1907
"1323","507 CLEMENT ST",1910
"1324","250 SUTTER ST",1909
"1325","444 BRYANT ST",1923
"1326","616 GRANT AVE",1900
"1327","845 JACKSON ST",1924
"1328","300 KANSAS ST",1937
"1329","345 W PORTAL AVE",1966
"1330","169 11TH ST",1923
"1331","565 COMMERCIAL ST",1985
"1332","3801 3RD ST",1903
"1333","375 BEALE ST",2002
"1334","345 Brannan St",2016
"1335","750-756 STANYAN ST",1907
"1336","1275 MARKET ST.",1976
"1337","246 1ST ST",1900
"1338","650 7TH ST",1908
"1339","350 TOWNSEND ST",1906
"1340","501 ALABAMA ST",1936
"1341","1 STONESTOWN MALL",1951
"1342","1201 MARKET ST",1964
"1343","1520 STOCKTON ST",1926
"1344","301 BRANNAN ST",1909
"1345","545 POST ST",1913
"1346","358 PINE ST",1928
"1347","735 7TH AVE",2008
"1348","505 MONTGOMERY ST",0
"1349","1660 VAN NESS AVE",1911
"1350","1125 Mission St",1927
"1351","211 SUTTER ST",1907
"1352","75 INDUSTRIAL ST",1956
"1353","3040 LARKIN ST",1925
"1354","1455 STOCKTON ST",1929
"1355","251 POST ST",1908
"1356","4050 19TH AVE",1993
"1357","101 VALLEJO ST",1906
"1358","51 FEDERAL ST",1923
"1359","703 MARKET ST",1908
"1360","560 MISSION ST",2002
"1361","1930 MARKET ST",1954
"1362","155 5TH ST",1973
"1363","10 UNITED NATIONS PLZ",1982
"1364","3540 Geary Blvd",1955
"1365","140 9TH ST",1933
"1366","459 FULTON ST",1969
"1367","575 6TH ST",1956
"1368","1398 BRYANT ST",1900
"1369","1717 MISSION ST",1952
"1370","67 5TH ST",1923
"1371","225 BUSH ST",1921
"1372","520 WASHINGTON ST",1940
"1373","124 SPEAR ST",1918
"1374","100 SPEAR ST",1985
"1375","300 Toland St",1968
"1376","524 SUTTER ST",1914
"1377","150 POST ST",1908
"1378","2025 MCKINNON AVE",1967
"1379","1600 VAN NESS AVE",1913
"1380","100 HOOPER ST",2018
"1381","435 PACIFIC AVE",2002
"1382","838 GRANT AVE",1966
"1383","333 EUCALYPTUS DR",1953
"1384","405 JACKSON ST",1853
"1385","945 MARKET ST",0
"1386","360 3RD ST",1976
"1387","160 SANSOME ST",1965
"1388","1335 WEBSTER ST",1983
"1389","100 THE EMBARCADERO",1889
"1390","827 STOCKTON ST",1914
"1391","2455 Golden Gate Ave",1921
"1392","348 PINE ST",1907
"1393","333 Valencia St",1919
"1394","1625 POST ST",0
"1395","679 3RD ST",1906
"1396","600 MONTGOMERY ST",1971
"1397","995 MARKET ST",1908
"1398","600 HARRISON ST",1989
"1399","54 MINT ST",1907
"1400","601 CALIFORNIA ST",1960
"1401","1707 MARKET ST",1955
"1402","3 MASONIC AVE",1900
"1403","901 VAN NESS AVE",1926
"1404","401 SANSOME ST",1906
"1405","1243 VAN NESS AVE",1913
"1406","4700 GEARY BLVD",1921
"1407","499 ILLINOIS ST",2008
"1408","450 TOLAND ST",1969
"1409","1265 FOLSOM ST",1936
"1410","201 Toland St",1965
"1411","1550 VAN NESS AVE",1973
"1412","466 BUSH ST",2007
"1413","2095 LOMBARD ST",1982
"1414","1430 BUSH ST",1914
"1415","180 NEW MONTGOMERY ST",1920
"1416","595 MARKET ST",1978
"1417","1698 POST ST",1979
"1418","1023 MISSION ST",1919
"1419","650 BUSH ST",1912
"1420","1212 GEARY BLVD",1945
"1421","1 STOCKTON ST",1973
"1422","225 VALENCIA ST",1907
"1423","1069 PENNSYLVANIA AVE",1983
"1424","130 GEARY ST",1984
"1425","1810 Harrison St",1924
"1426","345 TAYLOR ST",1926
"1427","201 8TH ST",1900
"1428","340 BRANNAN ST",1911
"1429","2324 CHESTNUT ST",1937
"1430","1201 BRYANT ST",1927
"1431","2322 LOMBARD ST",1954
"1432","201 KEARNY ST",1910
"1433","39 STOCKTON ST",1909
"1434","1389 UNDERWOOD AVE",1966
"1435","1501 NEWHALL ST",1989
"1436","3900 Balboa St",1948
"1437","600 ALABAMA ST",1911
"1438","895 GEARY ST",1970
"1439","654 MISSION ST",2009
"1440","180 POST ST",1908
"1441","921 HOWARD ST",1924
"1442","456 MONTGOMERY ST",1986
"1443","434 ELLIS ST",1926
"1444","50 FELL ST",1931
"1445","1385 CARROLL AVE",1959
"1446","665 BUSH ST",2000
"1447","2045 EVANS AVE",2002
"1448","155 SANSOME ST",1929
"1449","2001 MISSION ST",1916
"1450","777 DAVIS ST",1927
"1451","400 CALIFORNIA ST",1907
"1452","2 HARRISON ST",1925
"1453","1301 FRANKLIN ST",1995
"1454","2265 LOMBARD ST",1959
"1455","480 2ND ST",1922
"1456","208 UTAH STREET",1911
"1457","2150 Oakdale Ave",1948
"1458","470 PACIFIC AVE",1907
"1459","1800 MISSION ST",1900
"1460","1555 GALVEZ AVE",0
"1461","300 CALIFORNIA ST",1946
"1462","1650 OWENS ST",0
"1463","5200 GEARY BLVD",1966
"1464","3110 OCTAVIA ST",1924
"1465","156 GEARY ST",1907
"1466","135 Townsend Street",1911
"1467","1830 HARRISON ST",1906
"1468","300 GOUGH ST",2000
"1469","2485 MISSION ST",1925
"1470","243 JEFFERSON ST",1937
"1471","1256 MARKET ST",1908
"1472","1601 LANE ST",1949
"1473","448 BRYANT ST",1924
"1474","2276-2282 MARKET ST",1987
"1475","255 SUTTER ST",1908
"1476","934 HOWARD ST",1924
"1477","701 SUTTER ST",1910
"1478","1 MONTGOMERY STREET",1908
"1479","1760 CESAR CHAVEZ ST",1986
"1480","1595 LOMBARD ST",1989
"1481","740 WASHINGTON ST",1907
"1482","1058 HOWARD ST",1927
"1483","430 HOWARD ST",2007
"1484","1301 HARRISON ST",1926
"1485","3950 24TH STREET",1968
"1486","151 10TH ST",1924
"1487","22 PEACE PLZ",1971
"1488","355 11TH ST",1906
"1489","101 BARNEVELD AVE",1975
"1490","2145 MARKET ST",1949
"1491","3150 CALIFORNIA ST",1942
"1492","1656 CALIFORNIA ST",1968
"1493","360 LANGTON ST",1928
"1494","572 FOLSOM ST",1912
"1495","330 7TH AVE",1949
"1496","475 VALENCIA ST",1923
"1497","647 MISSION ST",1907
"1498","500 BUSH ST",1912
"1499","243 ALABAMA STREET",1925
"1500","2601 MASON ST",1959
"1501","140 7TH ST",1980
"1502","1990 FOLSOM ST",1963
"1503","678 MISSION ST",1922
"1504","50 OAK ST",2008
"1505","2101 MISSION ST",1916
"1506","315 BAY ST",1976
"1507","1639 Oak Street",2016
"1508","745 FRANKLIN ST",1953
"1509","1150 THOMAS AVE",1953
"1510","500 MONTGOMERY ST",1918
"1511","434 BRANNAN ST",1929
"1512","444 DE HARO ST",1927
"1513","72 Ellis St",1960
"1514","154 CAPP ST",1922
"1515","86 GOLDEN GATE AVE",1918
"1516","744 MARKET ST",1910
"1517","447 BATTERY ST",1907
"1518","111 POWELL ST",1910
"1519","3320 20TH ST",1920
"1520","112 7TH ST",1911
"1521","1975 MARKET ST",1922
"1522","1320 MARIN ST",1951
"1523","1009 STOCKTON ST",1910
"1524","1313 ARMSTRONG AVE",1960
"1525","20 COSMO PL",1921
"1526","3065 JACKSON STREET",1917
"1527","3201 20TH AVE",0
"1528","1 KEARNY ST",0
"1529","1740 CESAR CHAVEZ",1986
"1530","460 9TH ST",1927
"1531","562 MARKET ST",1923
"1532","140 SANSOME ST",1908
"1533","1485 BAYSHORE BLVD",1927
"1534","480 SUTTER ST",0
"1535","235 PINE ST",1991
"1536","25 RUSSIA AVE",1940
"1537","3543 18TH ST",1906
"1538","375 BRANNAN ST",1979
"1539","1620 STOCKTON ST",1936
"1540","1150 25TH ST",1967
"1541","335 POWELL ST",1904
"1542","33 TURK ST",2022
"1543","1800 FOLSOM ST",1986
"1544","731 SANSOME ST",1911
"1545","200 PAUL AVE",1955
"1546","979 MARKET ST",1907
"1547","611 Second Street",1909
"1548","3350 MISSION ST",1967
"1549","2222 17TH ST",1961
"1550","123 TOWNSEND ST",1903
"1551","300 Treat Ave",1908
"1552","3855 GEARY BLVD",1917
"1553","545 POWELL ST",1909
"1554","364 9TH ST",1955
"1555","2690 Geary Blvd",1923
"1556","144 2ND ST",1908
"1557","1690 FOLSOM ST",1953
"1558","246 POST ST",1908
"1559","900 PENNSYLVANIA AVE",1997
"1560","60 BROADWAY",1902
"1561","98 Mission St",1979
"1562","865 STOCKTON ST",1977
"1563","498 6TH ST",2003
"1564","160 SPEAR ST",0
"1565","150 CALIFORNIA ST",2000
"1566","150 MISSISSIPPI ST",1945
"1567","901 MINNESOTA ST",1940
"1568","17 POWELL ST",1910
"1569","2800 3RD ST",1925
"1570","3060 16TH ST",1908
"1571","945 BATTERY ST",1911
"1572","701 PHELPS ST",1954
"1573","472 TOWNSEND ST",1920
"1574","1301 VAN NESS AVE",1912
"1575","2318 Fillmore St.",1986
"1576","577 2ND ST",1923
"1577","3830 3RD ST",1985
"1578","3398 Mission St",1917
"1579","130 SUTTER ST",1917
"1580","524 POST ST",1912
"1581","250 CLAY ST",1967
"1582","757 MARKET ST",2001
"1583","3200 CALIFORNIA ST",0
"1584","838 MARKET ST",1930
"1585","1754 NORIEGA ST",1946
"1586","39 DRUMM STREET",1912
"1587","1275 MINNESOTA ST",1937
"1588","1635 DIVISADERO ST",1989
"1589","625 2ND ST",1905
"1590","2050 GALVEZ AVE",1968
"1591","1263 HOWARD ST",1936
"1592","2201 VAN NESS AVE",1957
"1593","1 TAYLOR ST",1922
"1594","145 JEFFERSON ST.",2000
"1595","301 PINE ST",1909
"1596","169 STEUART ST",1926
"1597","661 HOWARD ST",1972
"1598","5420 GEARY BLVD",1923
"1599","1244 SUTTER ST",1911
"1600","450 9TH ST",1926
"1601","901 MISSION ST",1924
"1602","1215 FELL ST",1909
"1603","1320 BRYANT ST",2003
"1604","3400 Cesar Chavez",2009
"1605","639 FRONT ST",1906
"1606","267 8TH ST",1911
"1607","101 UTAH ST",1957
"1608","795 FOLSOM ST",1979
"1609","888 TENNESSEE ST",1953
"1610","2425 GEARY BLVD",1952
"1611","2450 SUTTER ST",1911
"1612","1500 16TH ST",1952
"1613","1530 BUSH ST",1916
"1614","1563 MISSION ST",1917
"1615","1900 OAKDALE AVE",1962
"1616","111 ELLIS ST",1907
"1617","275 POST ST",1909
"1618","3130 20TH ST",1949
"1619","348 6TH ST",1924
"1620","1616 16TH ST",1912
"1621","735 MONTGOMERY ST",1924
"1622","333 KEARNY ST",1907
"1623","150 STOCKTON ST.",0
"1624","33 COLUMBUS AVE",1913
"1625","1045 17TH ST",1900
"1626","2299 POST ST",1963
"1627","579 MARKET ST",1907
"1628","781 BEACH ST",1912
"1629","1000 SANSOME ST",1904
"1630","701 BAY SHORE BLVD",1952
"1631","545 SANSOME ST",1930
"1632","85 BLUXOME ST",1900
"1633","984 FOLSOM ST",1928
"1634","1736 STOCKTON ST",1907
"1635","414 MASON ST",1911
"1636","615 GRANT AVE",1907
"1637","450 SANSOME ST",1967
"1638","5260 DIAMOND HEIGHTS BLVD",1964
"1639","1244 MARKET ST",1906
"1640","500 SUTTER ST",1914
"1641","2350 Turk Blvd",1930
"1642","1 POWELL ST",1921
"1643","2505 MARIPOSA ST",1923
"1644","2335 Golden Gate Ave",1921
"1645","1111 JUNIPERO SERRA BLVD",1953
"1646","555 JACKSON ST",2005
"1647","301 Toland St",1942
"1648","2739 TAYLOR ST",1953
"1649","559 SUTTER ST",1921
"1650","451 MONTGOMERY ST",1907
"1651","555 9TH ST",1991
